date,OT
2024/3/15 0:00,4642
2024/3/15 0:15,4576
2024/3/15 0:30,4812
2024/3/15 0:45,2704
2024/3/15 1:00,3974
2024/3/15 1:15,3658
2024/3/15 1:30,3172
2024/3/15 1:45,3109
2024/3/15 2:00,2689
2024/3/15 2:15,3188
2024/3/15 2:30,2808
2024/3/15 2:45,3249
2024/3/15 3:00,2794
2024/3/15 3:15,2004.1
2024/3/15 3:30,2530
2024/3/15 3:45,3143
2024/3/15 4:00,3462.1
2024/3/15 4:15,3626
2024/3/15 4:30,4613
2024/3/15 4:45,3763
2024/3/15 5:00,3684
2024/3/15 5:15,3118
2024/3/15 5:30,3790
2024/3/15 5:45,4609
2024/3/15 6:00,4400
2024/3/15 6:15,4129
2024/3/15 6:30,3551
2024/3/15 6:45,3480
2024/3/15 7:00,4172.1
2024/3/15 7:15,2244
2024/3/15 7:30,1907
2024/3/15 7:45,1414
2024/3/15 8:00,1247
2024/3/15 8:15,1254
2024/3/15 8:30,1491
2024/3/15 8:45,2318
2024/3/15 9:00,1921
2024/3/15 9:15,882
2024/3/15 9:30,1326
2024/3/15 9:45,1019
2024/3/15 10:00,1467
2024/3/15 10:15,2823
2024/3/15 10:30,1819
2024/3/15 10:45,2304
2024/3/15 11:00,2149
2024/3/15 11:15,2112
2024/3/15 11:30,1745
2024/3/15 11:45,1415
2024/3/15 12:00,1017
2024/3/15 12:15,1024
2024/3/15 12:30,608
2024/3/15 12:45,1168
2024/3/15 13:00,1154
2024/3/15 13:15,1820
2024/3/15 13:30,2519
2024/3/15 13:45,1538
2024/3/15 14:00,1857
2024/3/15 14:15,1365
2024/3/15 14:30,1602
2024/3/15 14:45,0
2024/3/15 15:00,0
2024/3/15 15:15,0
2024/3/15 15:30,0
2024/3/15 15:45,0
2024/3/15 16:00,0
2024/3/15 16:15,0
2024/3/15 16:30,0
2024/3/15 16:45,0
2024/3/15 17:00,0
2024/3/15 17:15,0
2024/3/15 17:30,0
2024/3/15 17:45,0
2024/3/15 18:00,0
2024/3/15 18:15,0
2024/3/15 18:30,0
2024/3/15 18:45,0
2024/3/15 19:00,0
2024/3/15 19:15,0
2024/3/15 19:30,0
2024/3/15 19:45,0
2024/3/15 20:00,0
2024/3/15 20:15,0
2024/3/15 20:30,0
2024/3/15 20:45,0
2024/3/15 21:00,1311.8999
2024/3/15 21:15,3927
2024/3/15 21:30,4660.1
2024/3/15 21:45,5295
2024/3/15 22:00,5428
2024/3/15 22:15,4405
2024/3/15 22:30,4520
2024/3/15 22:45,5046
2024/3/15 23:00,5245
2024/3/15 23:15,5737
2024/3/15 23:30,6496
2024/3/15 23:45,5879
2024/3/16 0:00,5055
2024/3/16 0:15,3714
2024/3/16 0:30,4770
2024/3/16 0:45,4914
2024/3/16 1:00,5099
2024/3/16 1:15,5572
2024/3/16 1:30,5568.9
2024/3/16 1:45,6058
2024/3/16 2:00,6125.8
2024/3/16 2:15,5195
2024/3/16 2:30,4054
2024/3/16 2:45,3978
2024/3/16 3:00,3937
2024/3/16 3:15,5868.1
2024/3/16 3:30,4734
2024/3/16 3:45,4005
2024/3/16 4:00,4666
2024/3/16 4:15,5062
2024/3/16 4:30,4092
2024/3/16 4:45,3734
2024/3/16 5:00,3629
2024/3/16 5:15,2746
2024/3/16 5:30,2274
2024/3/16 5:45,2244
2024/3/16 6:00,2125
2024/3/16 6:15,2058
2024/3/16 6:30,2690
2024/3/16 6:45,2768
2024/3/16 7:00,2628
2024/3/16 7:15,2175
2024/3/16 7:30,2094
2024/3/16 7:45,1884
2024/3/16 8:00,1125
2024/3/16 8:15,1173.8
2024/3/16 8:30,1154
2024/3/16 8:45,1231
2024/3/16 9:00,1165
2024/3/16 9:15,0
2024/3/16 9:30,0
2024/3/16 9:45,0
2024/3/16 10:00,0
2024/3/16 10:15,0
2024/3/16 10:30,0
2024/3/16 10:45,0
2024/3/16 11:00,0
2024/3/16 11:15,0
2024/3/16 11:30,0
2024/3/16 11:45,0
2024/3/16 12:00,0
2024/3/16 12:15,0
2024/3/16 12:30,0
2024/3/16 12:45,0
2024/3/16 13:00,0
2024/3/16 13:15,0
2024/3/16 13:30,0
2024/3/16 13:45,0
2024/3/16 14:00,0
2024/3/16 14:15,0
